"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"5","Sebastian Ahohose01",21,"CAR","C",82,30,53,83,0.106365595511487
"356","Jakub Vranaranaja01",22,"WSH","LW",82,24,23,47,0.106329594384568
"42","Jesper Brattrattje01",20,"NJD","W",51,8,25,33,0.105134452338105
"330","Oskar Sundqvist\sundqos01",24,"STL","C",74,14,17,31,0.104929181893956
"47","Andre Burakovskyurakan01",23,"WSH","LW",76,12,13,25,0.104037215113614
"32","Oliver Bjorkstrandjorkol01",23,"CBJ","RW",77,23,13,36,0.103992324396346
"341","Joe Thornton	hornjo01",39,"SJS","C",73,16,35,51,0.103900126855632
"274","Alexander Radulov
adulal01",32,"DAL","RW",70,29,43,72,0.103202483459826
"273","Lukas Radil
adillu01",28,"SJS","C",36,7,4,11,0.101601648900177
"68","Logan Couture\coutulo01",29,"SJS","C",81,27,43,70,0.100480836790844
"48","Paul Byronyronpa01",29,"MTL","C",56,15,16,31,0.0969809789160805
"76","Phillip Danault\danauph01",25,"MTL","LW",81,12,41,53,0.0968490562172549
"275","Michael Raffl
afflmi01",30,"PHI","LW",67,6,12,18,0.0957951418898773
"127","Michael Grabner\grabnmi01",31,"ARI","RW",41,9,7,16,0.0955091453024939
"291","Derek Ryan
yande01",32,"CGY","C",81,13,25,38,0.0951563238462758
"217","Andrew Mangiapane\mangian01",22,"CGY","LW",44,8,5,13,0.0941931400736645
"133","Jake Guentzel\guentja01",24,"PIT","C",82,40,36,76,0.0922186679076467
"242","Matthew Nieto
ietoma01",26,"COL","LW",64,4,19,23,0.0908808340926802
"214","Nathan MacKinnon\mackina01",23,"COL","C",82,41,58,99,0.0906035204261065
"126","Yanni Gourde\gourdya01",27,"TBL","C",80,22,26,48,0.0899878645042901
"94","Jack Eichel\eicheja01",22,"BUF","C",77,28,54,82,0.0844545961519606
"300","Brett Seney\seneybr01",22,"NJD","LW",51,5,8,13,0.0843453092573466
"130","Derek Grant\grantde01",28,"TOT","C",56,4,10,14,0.082591852467497
"6","Michael Amadiomadimi01",22,"LAK","C",43,6,7,13,0.0823182795711178
"232","J.T. Miller\millejt01",25,"TBL","C",75,13,34,47,0.0823055026073872
"209","Par Lindholm\lindhpa01",27,"TOT","C",65,1,12,13,0.0808940705694959
"334","Tomas Tatar	atarto01",28,"MTL","C",80,25,33,58,0.0785664436982217
"105","Valtteri Filppulailppva01",34,"NYI","C",72,17,14,31,0.0755000939159558
"122","Claude Giroux\giroucl01",31,"PHI","C",82,22,63,85,0.0746669531234343
"288","Carter Rowney
owneca01",29,"ANA","RW",62,7,13,20,0.0736321408157196
"192","Evgeny Kuznetsov\kuzneev01",26,"WSH","C",76,21,51,72,0.0716284679792048
"132","Rocco Grimaldi\grimaro01",25,"NSH","C",53,5,8,13,0.0694674136741302
