"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"256","Kyle Palmieri\palmiky01",27,"NJD","RW",74,27,23,50,-0.116186006722667
"353","Jimmy Veseyeseyji02",25,"NYR","LW",81,17,18,35,-0.116278385999756
"150","Brett Howden\howdebr01",20,"NYR","C",66,6,17,23,-0.11716226950269
"33","Nick Bjugstadjugsni01",26,"TOT","C",64,14,12,26,-0.11951352054912
"241","Frans Nielsen
ielsfr01",34,"DET","C",72,10,25,35,-0.12181607986499
"131","Jordan Greenway\greenjo02",21,"MIN","LW",81,12,12,24,-0.122276510426004
"320","Jordan Staal\staaljo01",30,"CAR","C",50,11,17,28,-0.124317125992327
"45","Dustin Brownrowndu01",34,"LAK","RW",72,22,29,51,-0.124565305066906
"371","Travis Zajac\zajactr01",33,"NJD","C",80,19,27,46,-0.124648410114499
"35","Brock Boeseroesebr01",21,"VAN","RW",69,26,30,56,-0.125011601814374
"2","Pontus Abergbergpo01",25,"TOT","LW",59,12,13,25,-0.126026174781157
"128","Markus Granlund\granlma01",25,"VAN","C",77,12,10,22,-0.127154617522447
"156","Calle Jarnkrok\jarnkca01",27,"NSH","C",79,10,16,26,-0.129972477764734
"175","Adrian Kempe\kempead01",22,"LAK","LW",81,12,16,28,-0.131567583465664
"223","Pat Maroon\maroopa01",30,"STL","LW",74,10,18,28,-0.133657963947136
"303","Conor Sheary\shearco01",26,"BUF","LW",78,14,20,34,-0.133888296507421
"354","Jake Virtanenirtaja01",22,"VAN","RW",70,15,10,25,-0.134962401800004
"243","Joakim Nordstrom
ordsjo02",26,"BOS","C",70,7,5,12,-0.135460699551059
"340","Tage Thompson	hompta01",21,"BUF","C",65,7,5,12,-0.137849181449915
"55","Filip Chytil\chytifi01",19,"NYR","C",75,11,12,23,-0.139109550520623
"11","Joel Armiarmiajo01",25,"MTL","RW",57,13,10,23,-0.144064308164492
"185","Ilya Kovalchuk\kovalil01",35,"LAK","LW",64,16,18,34,-0.144168847413012
"101","Jesper Fastastje01",27,"NYR","RW",66,8,12,20,-0.146143829648105
"319","Eric Staal\staaler01",34,"MIN","C",81,22,30,52,-0.148214587025615
"212","Milan Lucic\lucicmi01",30,"EDM","LW",79,6,14,20,-0.149192532063874
"276","Rickard Rakell
akelri01",25,"ANA","RW",69,18,25,43,-0.150286819840149
"62","Blake Comeau\comeabl01",32,"DAL","RW",77,7,11,18,-0.152421007688298
"54","Alex Chiasson\chiasal01",28,"EDM","RW",73,22,16,38,-0.154835466556307
"1","Justin Abdelkaderbdelju01",31,"DET","LW",71,6,13,19,-0.15745573520776
"190","Luke Kunin\kuninlu01",21,"MIN","C",49,6,11,17,-0.164733136371599
"258","Richard Panik\panikri01",27,"ARI","RW",75,14,19,33,-0.16619220462513
"363","Alexander Wennberg\wennbal01",24,"CBJ","C",75,2,23,25,-0.168187524970079
"104","Kevin Fialaialake01",22,"TOT","LW",83,13,26,39,-0.170487955069092
"195","Patrik Laine\lainepa01",20,"WPG","RW",82,30,20,50,-0.172651728112433
"297","Nick Schmaltz\schmani01",22,"TOT","C",40,7,18,25,-0.176282863338612
"124","Nikolay Goldobin\goldoni01",23,"VAN","LW",63,7,20,27,-0.182106627228372
"347","Vincent Trocheck	rochvi01",25,"FLA","C",55,10,24,34,-0.182225120267841
"374","Jason Zucker\zuckeja01",27,"MIN","LW",81,21,21,42,-0.183251581638682
"41","Derick Brassardrassde01",31,"TOT","C",70,14,9,23,-0.185238834488936
"221","Patrick Marleau\marlepa01",39,"TOR","C",82,16,21,37,-0.186391197796918
"233","Casey Mittelstadt\mitteca01",20,"BUF","C",77,12,13,25,-0.187811557609672
"26","Anthony Beauvilliereauvan01",21,"NYI","LW",81,18,10,28,-0.188630759819203
"63","J.T. Compher\comphj.01",23,"COL","LW",66,16,16,32,-0.188643592527381
"106","Christian Fischerischch01",21,"ARI","RW",71,11,7,18,-0.191498012767263
"109","Nick Folignooligni01",31,"CBJ","LW",73,17,18,35,-0.193052186241045
"149","Bo Horvat\horvabo01",23,"VAN","C",82,27,34,61,-0.197000851734976
"203","Josh Leivo\leivojo01",25,"TOT","LW",76,14,10,24,-0.197017738162474
"70","Charlie Coyle\coylech01",26,"TOT","C",81,12,22,34,-0.197656533364264
"183","Anze Kopitar\kopitan01",31,"LAK","C",81,22,38,60,-0.209060813492943
"92","Jordan Eberle\eberljo01",28,"NYI","RW",78,19,18,37,-0.219864693553854
"153","Alex Iafallo\iafalal01",25,"LAK","C",82,15,18,33,-0.221277085324787
"349","Kyle Turris	urriky01",29,"NSH","C",55,7,16,23,-0.235366936183608
"298","Jaden Schwartz\schwaja01",26,"STL","C",69,11,25,36,-0.23999822607821
"346","Tyler Toffoli	offoty01",26,"LAK","C",82,13,21,34,-0.24240169396844
"307","Wayne Simmonds\simmowa01",30,"TOT","RW",79,17,13,30,-0.244574515926842
"238","James Neal
ealja01",31,"CGY","LW",63,7,12,19,-0.266654681777277
"254","Jean-Gabriel Pageau\pageaje01",26,"OTT","C",39,4,8,12,-0.270497481226772
"325","Derek Stepan\stepade01",28,"ARI","C",72,15,20,35,-0.277573027694688
"53","Jeff Carter\carteje01",34,"LAK","C",76,13,20,33,-0.287808150840766
"174","Clayton Keller\kellecl01",20,"ARI","C",82,14,33,47,-0.292382153104392
